model,bert-medium,bert-medium,bert_small,bert_small
learning_rate,001,01,001,01
epoch,,,,
35,17.229494424899855,16.85692028640811,17.928199573509897,17.86716522711256
36,17.227183941283513,16.88461581219226,17.924959220955714,17.864303505531364
37,17.197940597117274,16.90348125341788,17.912387729776796,17.886712635928504
38,17.19662959197831,16.8536926872327,17.945409097306715,17.86304070114894
39,17.20044894470326,16.897451960843007,17.94373381289845,17.865375552827622
40,17.205606568272213,16.894356644785123,17.949479817041283,17.8727285446592
41,17.207969860083853,16.818460339126574,17.93419413748986,17.864970550453773
42,17.234397179442027,16.814681965168027,17.93620921484108,17.87362265469662
43,17.26140301257969,16.75488351529877,17.932902532414225,17.876459051910352
44,17.1917622050301,16.764151685163664,17.935037053565075,17.903594823476507
45,17.17334354032367,16.792882994660996,17.937076936871193,17.863621282377856
46,17.17683179956099,16.786850443655474,17.933036748611645,17.838765624744436
47,17.170565412344178,16.73615436703265,17.93274187042848,17.84414737992397
48,17.179225900785518,16.836632445755715,17.928604125976562,17.860880525520585
49,17.178421020507812,16.806540555344586,17.93091754183743,17.8625491253561
50,17.176565187659204,16.81000331987693,17.93719820116387,17.859171956435766
51,17.17842203498104,16.732854979602056,17.94202072893987,17.862460336593163
52,17.17997850094988,16.828960965245273,17.956919282729075,17.85903651766844
53,17.181506103070923,16.81419698262766,17.932629083240837,17.86693144235241
54,17.208906052108237,16.834507730908673,17.942690475825188,17.87011837920226
55,17.201779308214864,16.837999822705815,17.951576080044326,17.881670233939875
56,17.153703116328337,16.87981942032891,17.94085248658783,17.855761022618097
57,17.16297729158662,16.863115170039745,17.968573662318384,17.86198089866284
58,17.15447551956594,16.7880583158417,17.971976191619706,17.85129577953395
59,17.167866468863842,16.816491146980034,17.963367691456945,17.86702644796769
60,17.233399174035355,16.815073532418392,17.96338546558373,17.85291170696298
61,17.111352250007116,16.793129938147487,17.956206191432933,17.842390514952267
62,17.107890186414043,16.801643389638127,17.955049191667733,17.856435085805675
63,17.13634030979622,16.809440121111617,17.952647697295866,17.855776707808783
