model,bert-medium,bert-medium,bert_small,bert_small,bert_tiny,bert_tiny
learning_rate,001,01,001,01,001,01
epoch,,,,,,
25,18.10298040004376,18.00624808799845,16.651758801958817,16.583151394566094,12.003808672962291,11.70453532753845
26,18.08374526505045,18.001437867944322,16.6801678739176,16.412309011518033,11.998451997239298,11.705088155855144
27,18.09547923214883,17.982871671767263,16.708870698411175,16.31547652223213,11.945181521778768,11.708239338859364
28,18.09853678496592,18.005640665690105,16.69133536194626,16.324932321311998,11.885958979038593,11.70360280385374
29,18.112314873922934,18.01746372991673,16.704021141177318,16.31562867816541,11.844347371863972,11.7189237190773
30,18.11687426402052,17.98572435280067,16.68090279723343,16.366314347532956,11.78193502651972,11.697707245828632
31,18.11189470134797,17.971861681824453,16.689741402158756,16.28330538083182,11.815110962247587,11.675114635646008
32,18.10238954582284,17.962992640546865,16.590532952536215,16.253211141739435,11.783110384081231,11.713395900507562
33,18.106246308985085,17.945906606632875,16.516068505459145,16.418295015300014,11.73240628963394,11.743422884119028
34,18.12511958276856,17.972902729583744,16.592997649979722,16.430672262744913,11.766184329118015,11.74056070141295
35,18.12939298869482,17.961768858163232,16.563790687880665,16.389968688731503,11.745913618466458,11.70486788677644
36,18.12451588781805,17.974093866547925,16.483754253561163,16.541028190653073,11.763038739480608,11.708933158192549
37,18.116233881271167,17.979185783904303,16.544128084443305,16.53396204488863,11.778234304626132,11.73928939538772
38,18.114230380032232,17.92792087223672,16.50254470185938,16.38592704996567,11.763242057980952,11.728287772361467
39,18.11466382414048,17.926747369132535,16.576906075677368,16.327381861138253,11.784045853467152,11.706225994005242
40,18.11419344208931,17.959055260450445,16.578238871145334,16.337604599790712,11.720160708401371,11.70190449757544
41,18.11354070500164,17.96543754273461,16.576562766820356,16.459054060414605,11.749980433173953,11.689406227766003
42,18.12452052938048,17.989918494732375,16.537656384521927,16.36302265338769,11.763503826815358,11.690514128216408
43,18.11836781875249,17.970945722523357,16.535195091817332,16.289174758908356,11.744701712075043,11.70710553902432
44,18.11284510989441,17.931266583273064,16.536131561779584,16.34227110027464,11.769527476993416,11.686732545134236
45,18.11188158268052,17.935102354779218,16.508702999038558,16.47055574837613,11.77313365137208,11.701567185417716
46,18.111935544317973,17.91209165224846,16.514061126986924,16.441302916358215,11.750654606219848,11.70267400944708
47,18.110963401030105,17.897962966382817,16.519467907959427,16.360535206873735,11.741732842283822,11.696786975982128
48,18.111316938000734,17.96379767709062,16.534000042357732,16.37135448139829,11.75022802022854,11.690981902603935
49,18.11164589136676,17.94895517129445,16.53868672799977,16.277075479487653,11.757308779301322,11.67787034989445
50,18.110375326187885,17.954665601568188,16.525465112349156,16.439030758218646,11.730762335772072,11.68762239046095
51,18.110491115104523,17.94357257442311,16.485941124309825,16.443137651711197,11.781179243966749,11.696006179051214
52,18.11032253188948,17.943644244619218,16.4916528309195,16.603282254141103,11.744152444307922,11.690562233819827
53,18.10944424822031,17.93650949263907,16.524015221656562,16.48387394197951,11.758599988315492,11.69480795993107
54,18.109599073510783,17.90487351583345,16.491217316174115,16.441189522693744,11.74986369232011,11.687049289316551
55,18.10572705155948,17.911319331959604,16.568811579914474,16.469806414884925,11.746370034139664,11.69408544251855
56,18.09313542378188,17.929794708757523,16.84713838226374,16.47075780024408,11.776206601947166,11.698033059726272
57,18.093525537376195,17.91836576046849,16.813595047413976,16.68303718337721,11.753657884719376,11.674105551341356
58,18.09308720156143,17.923650347468154,16.819915410165144,16.620991408054497,11.745990252885662,11.70422611413661
59,18.092157541077,17.908220875530148,16.88523310260043,16.685864630323625,11.773291971731274,11.694636933295296
60,18.095170818391395,17.876369845079374,16.785203971932276,16.680865354623037,11.762457974404368,11.707002293579611
61,18.0828149792058,17.892313397649033,16.78902557595397,16.565646746760613,11.769496820446356,11.685734611162609
62,18.091130088153,17.88496307811949,16.78816003573614,16.53331044209409,11.77128788682281,11.675483745281191
63,18.07715973567441,17.879098633523633,16.78564878369941,16.53665772401069,11.771096679465147,11.670768677374497
64,18.07867829091779,17.870670434579203,16.758495226583847,16.650043559078743,11.772493268622728,11.684430136091176
65,18.09608417781976,17.905002655801542,16.7676343518311,16.677510250250585,11.761283276945298,11.653487066091484
66,18.09828639073884,17.865149812752186,16.76825423666254,16.500341925489952,11.773562363588091,11.696049924802198
