model,bert-medium,bert-medium,bert_small,bert_small,bert_tiny,bert_tiny
learning_rate,001,01,001,01,001,01
epoch,,,,,,
25,19.81737708697988,19.81488800048828,18.068933483464253,18.04208755423717,12.578415868929392,12.550557136362029
26,19.81720351478007,19.80913734401312,18.069187185151986,18.045370103664872,12.577074047429097,12.547718048095703
27,19.816532114164424,19.81271171604548,18.068405151367188,18.04606247017689,12.578775402409564,12.547097205942109
28,19.817998889582626,19.81352234025612,18.06755828857422,18.048389434119983,12.577519408123525,12.550120353872346
29,19.817886352539062,19.81127166748047,18.067726135253903,18.044904709209536,12.576622009277344,12.544749260122346
30,19.81800651897716,19.81073951547576,18.067892078059185,18.04424858127985,12.577644348144531,12.545991897235774
31,19.81820678710937,19.80937576502285,18.06801223060038,18.039073944786264,12.574729919433594,12.54464340209961
32,19.81761550208476,19.806671142578125,18.068042748178502,18.04113006591797,12.574507715054985,12.54603004420843
33,19.81830214759257,19.80626296927624,18.067150122915244,18.04062271048717,12.576007843017578,12.543115615497491
34,19.81946563720703,19.80999374459095,18.068033214909565,18.04574584960937,12.576575280972952,12.544350623910857
35,19.818374633789062,19.809215546348764,18.069566723210347,18.04391098230801,12.578240392855172,12.54937648790555
36,19.81855010986328,19.80406951904297,18.06992722252462,18.04528045654297,12.577305792025095,12.55221176147461
37,19.81840324749278,19.80485725368109,18.07020949622538,18.043392179313088,12.576945292710825,12.551848411733674
38,19.81856154700663,19.80321502685547,18.068508155141807,18.045320510517023,12.578563690185549,12.557020186336231
39,19.818443298339844,19.806001662860776,18.06803703655528,18.041538237830924,12.580208776644236,12.556562424053288
40,19.81834221233653,19.81090545654297,18.06751251220703,18.038619995117188,12.582398412874705,12.556550025766326
41,19.81819533606913,19.812046050330924,18.06750678668691,18.037923810435583,12.583855627230172,12.5587158203125
42,19.818029407160747,19.81063842773437,18.06737327923106,18.03485488822155,12.58600043903066,12.556440353740788
43,19.81803513268087,19.813388823768424,18.067232128483784,18.03791046281471,12.5855712890625,12.557385444467496
44,19.81678771972656,19.81287956272516,18.06742668499278,18.042564392089844,12.5858030336585,12.553935051137971
45,19.81575202594472,19.813711168118,18.067214965820312,18.04376030002985,12.586763378483784,12.55599594116211
46,19.815711975097656,19.81312942435436,18.067222595214844,18.0384502414361,12.58935546875,12.555890084528302
47,19.8156967163086,19.81178664952793,18.06713676800059,18.032094955791568,12.59217261920644,12.55596256238742
48,19.815641406672466,19.8100605007514,18.067005150522256,18.032011032451724,12.591956140347952,12.55335140245633
49,19.815469738347065,19.81195259059515,18.067178722722065,18.026660918494983,12.592785833529,12.551412582744694
50,19.815332409245503,19.81328392063532,18.06707000732422,18.02865600585937,12.596954345703123,12.555982590068911
51,19.81531142493632,19.802957534442807,18.066867821420693,18.0313701633111,12.597673426560366,12.552270888934991
52,19.81521796832753,19.80119514430609,18.068529125554097,18.026655197490783,12.59812163611796,12.555219650615788
53,19.81518745074941,19.79637336696234,18.06842613567637,18.01962661673717,12.600236889225972,12.561047553842496
54,19.81546404062073,19.794151306152344,18.067224499089253,18.017114638934995,12.602901458740234,12.56085014377985
55,19.81513404498769,19.79296302760687,18.06999969482422,18.0162315375597,12.60602569580078,12.563863754619694
56,19.815399169921875,19.795629501690005,18.072179797785747,18.01385116646595,12.606756213801372,12.561945915395784
57,19.81589698444081,19.79724693333063,18.071155541147256,18.01654815673828,12.60767745276835,12.564438819711638
58,19.815824512141216,19.788745879432486,18.071023965359604,18.01986694335937,12.609155651433005,12.560454368764924
59,19.81563185950663,19.78864860569391,18.071172717707626,18.0200176242486,12.61066436767578,12.56172656995578
60,19.815649036067,19.78246498073187,18.07139206627462,18.02137756347656,12.611636163541313,12.562004089355469
61,19.81380080481913,19.78570365940485,18.07118225097656,18.017154695686912,12.612547876187795,12.566387176513672
62,19.816421508789062,19.7839584350586,18.07122802734375,18.02124595676813,12.612211230891216,12.566279411489534
63,19.81610488196757,19.781038283954526,18.071121215820312,18.01922988822155,12.613580700261128,12.56488990748968
64,19.81627655029297,19.775297165264224,18.07143019935038,18.018360137244983,12.614548681429392,12.566788673227263
65,19.81468010296153,19.77643203665905,18.07147026409434,18.016647338867188,12.617037774869436,12.563698768442109
66,19.814580920832626,19.77754211425781,18.07139206627462,18.0167198188097,12.61709213256836,12.56414604221735
