model,bert-medium,bert-medium,bert_small,bert_small,bert_tiny,bert_tiny
learning_rate,001,01,001,01,001,01
epoch,,,,,,
23,0.9817850637522768,0.9839796104132532,0.9963570127504554,0.9761514655015474,0.5610200364298725,0.724194429273621
24,0.9872495446265938,0.9852539595849262,0.994535519125683,0.9847078099399236,0.5446265938069217,0.7420353176770436
25,0.9927140255009108,0.9834334607682506,0.9963570127504554,0.9828873111232478,0.599271402550091,0.7533224103404332
26,0.994535519125683,0.9899872565082832,0.9927140255009108,0.9867103586382668,0.5974499089253188,0.7687966502821774
27,0.989071038251366,0.9878026579282724,0.994535519125683,0.984525760058256,0.6338797814207651,0.7795375933005644
28,0.9927140255009108,0.9903513562716184,0.994535519125683,0.98798470780994,0.644808743169399,0.7799016930638996
29,0.9963570127504554,0.989259056981613,1.0,0.98798470780994,0.6666666666666666,0.7900964864372838
30,0.9963570127504554,0.9934462042599672,0.9963570127504554,0.9874385581649372,0.692167577413479,0.8010194793373384
31,0.9927140255009108,0.9908975059166212,1.0,0.9888949572182778,0.7085610200364298,0.8048425268523576
32,0.9927140255009108,0.9921718550882942,0.9981785063752276,0.991807755324959,0.7012750455373407,0.8183142180957582
33,0.9963570127504554,0.9903513562716184,0.9963570127504554,0.9899872565082832,0.7085610200364298,0.8183142180957582
34,0.994535519125683,0.9938103040233024,0.9981785063752276,0.98798470780994,0.7723132969034608,0.8290551611141452
35,0.9981785063752276,0.991807755324959,0.9981785063752276,0.992718004733297,0.7632058287795993,0.8325141088658292
36,1.0,0.9947205534316402,0.994535519125683,0.9943564536683052,0.7795992714025501,0.8423448024758784
37,0.9981785063752276,0.9956308028399782,0.994535519125683,0.9903513562716184,0.8051001821493625,0.8474421991625706
38,1.0,0.9907154560349536,0.994535519125683,0.99399235390497,0.825136612021858,0.8470780993992354
39,1.0,0.9959949026033134,0.9981785063752276,0.9932641543782996,0.8032786885245902,0.8538139450209358
40,1.0,0.9919898052066266,1.0,0.9949026033133078,0.8160291438979964,0.865283087565993
41,1.0,0.9954487529583106,0.9981785063752276,0.9950846531949754,0.8451730418943534,0.870926633897688
42,0.9981785063752276,0.9959949026033134,1.0,0.9929000546149646,0.8397085610200364,0.8778445294010558
43,1.0,0.9945385035499726,1.0,0.9919898052066266,0.8360655737704918,0.8745676315310396
44,0.9908925318761383,0.9945385035499726,1.0,0.9941744037866376,0.8561020036429873,0.8802111778627344
45,0.994535519125683,0.996541052248316,1.0,0.9949026033133078,0.8743169398907104,0.8927726196977972
46,1.0,0.9969051520116512,1.0,0.993082104496632,0.8925318761384335,0.8882213726561078
47,1.0,0.9949026033133078,1.0,0.9959949026033134,0.8743169398907104,0.8922264700527944
48,1.0,0.995266703076643,1.0,0.9958128527216458,0.9052823315118396,0.8969597669761514
49,1.0,0.9969051520116512,1.0,0.99399235390497,0.9253187613843352,0.891134170762789
50,1.0,0.9967231021299836,1.0,0.9954487529583106,0.8943533697632058,0.9022392135445112
51,1.0,0.9950846531949754,1.0,0.9947205534316402,0.8961748633879781,0.9069725104678682
52,1.0,0.9938103040233024,0.9981785063752276,0.9954487529583106,0.9198542805100182,0.908793009284544
53,1.0,0.995266703076643,0.9981785063752276,0.993082104496632,0.8979963570127505,0.9138904059712362
54,1.0,0.997451301656654,0.9981785063752276,0.9972692517749864,0.9271402550091076,0.9162570544329146
55,0.9981785063752276,0.997815401419989,0.9908925318761383,0.9969051520116512,0.9107468123861566,0.9175314036045876
56,0.994535519125683,0.9972692517749864,0.989071038251366,0.997815401419989,0.9508196721311476,0.9273620972146368
57,1.0,0.9949026033133078,0.989071038251366,0.9956308028399782,0.9253187613843352,0.9244492991079556
58,1.0,0.9967231021299836,0.9908925318761383,0.9969051520116512,0.941712204007286,0.9297287456763154
59,1.0,0.9981795011833242,0.9927140255009108,0.9949026033133078,0.9380692167577414,0.9262697979246314
60,0.9927140255009108,0.9970872018933188,0.9981785063752276,0.9979974513016566,0.9380692167577414,0.9282723466229746
61,0.9927140255009108,0.9961769524849808,1.0,0.9970872018933188,0.9581056466302368,0.933733843073002
62,0.9872495446265938,0.9976333515383216,1.0,0.9949026033133078,0.9326047358834244,0.9262697979246314
63,0.9963570127504554,0.9989077007099946,1.0,0.9983615510649918,0.9489981785063752,0.9417440378663754
