model,bert-medium,bert-medium,bert_small,bert_small,bert_tiny,bert_tiny
learning_rate,001,01,001,01,001,01
epoch,,,,,,
23,0.0798245975459316,0.0536524028624629,0.0351514362056615,0.0660720537493357,1.0166826744331472,0.6724296880727602
24,0.0461283754184163,0.0455252097902374,0.0402383671120107,0.0479713081743859,1.012829103973611,0.6419753320833904
25,0.0306372790561754,0.0475164024576313,0.0293980034709465,0.0488841365841409,0.9889647616497588,0.6235460260841943
26,0.0248146537430109,0.0311974992708725,0.0333413681768573,0.0370375640040664,0.9742022776647128,0.5970959583744637
27,0.0447638151380072,0.0345029924342932,0.030375167142213,0.0487542180208612,0.9496301180243708,0.5690025976071825
28,0.0373482206897413,0.0330836440608378,0.0226692058492065,0.0368965111158133,0.925120036784417,0.5596148414123955
29,0.0200578945439532,0.0345039860035236,0.0113653511009119,0.034671324403065,0.9016331121569774,0.5393595149797884
30,0.0142862077290107,0.0246623262441561,0.0141558343279964,0.0409554576848991,0.8533849299279719,0.515862158260427
31,0.0185001107078649,0.0305743871647345,0.0095180989945398,0.0350524314773982,0.8284579246204842,0.5017690691719198
32,0.0224326028741339,0.0247609053677208,0.0116409272471195,0.0265867086386807,0.8052267465869368,0.4818355991999655
33,0.0269286405797267,0.0277850230515479,0.0133724531018003,0.0287595679295135,0.7681914715601881,0.4661578335181277
34,0.0267600485247531,0.0202291371598287,0.0152578036960736,0.0332106788341419,0.7312714056890519,0.4522740837059754
35,0.0135652147647407,0.0234632362649443,0.0140928854726472,0.020458894231291,0.7046113224845983,0.4422610835062878
36,0.0077713432625098,0.0187946816771712,0.020588558618461,0.0211895003310778,0.6689605409981775,0.4274629473838132
37,0.0090746780134778,0.0129889145011315,0.0250824879853221,0.030737290909877,0.6372905653682562,0.4099671035142364
38,0.0058737919082312,0.0233178302939762,0.0158729226886547,0.0194963295575375,0.6017171528821434,0.4088092322978256
39,0.0046725240646299,0.014956853748634,0.0159046792549052,0.0208071332909031,0.5980690619984611,0.39541410432473
40,0.004512141019323,0.0257532380562158,0.007117080276591,0.0168718336969471,0.5663283482492513,0.3735872847817318
41,0.0042683357043778,0.0155185914637284,0.007343652353661,0.014714917591603,0.5340239672712941,0.3493958217373815
42,0.0107868276332896,0.01708632004755,0.0046817170216859,0.0216316804378406,0.5161050292094983,0.33577476250611
43,0.0051128542786956,0.0222352646678268,0.0052691944001178,0.0271079468920696,0.5151960354142284,0.3408839753687371
44,0.022519165001986,0.0206517328516633,0.0042541992544401,0.0205637440558871,0.4887572514989119,0.3268397474753364
45,0.0151875444182376,0.0104023974168256,0.0040685064680976,0.0161392641066954,0.4608934114539558,0.3032929786112537
46,0.0050308959887707,0.0089528801965874,0.0033439741476705,0.020344264376246,0.4200440361308704,0.2994844316459626
47,0.0039011068779547,0.0182173455357582,0.0033083606735279,0.0118707013427611,0.4295626493316747,0.2915402500641469
48,0.0036415525097976,0.0141679942861988,0.0033443600053004,0.0126838492357753,0.396809557150839,0.2774171984284687
49,0.0030408109061569,0.010636882978525,0.0042561821474987,0.0161993892314865,0.3729376015550235,0.2922230091318284
50,0.0031823811048339,0.0110187402466287,0.0036862968697886,0.0130840973130766,0.3711934700906819,0.2727839544119784
51,0.003256949817911,0.0146273318920593,0.0040190715159549,0.0163470676999622,0.3692802814512305,0.2656673517558996
52,0.0027213951035017,0.0186369278506848,0.0108716916309869,0.0125730710033947,0.3269285369929068,0.2598566388727948
53,0.0027198946614069,0.0153829310617891,0.0066396603233542,0.0199457651839469,0.3455246620165194,0.2404545299327701
54,0.0037252805806452,0.0094816249981134,0.0046288952976125,0.0129475375281278,0.3146319101091291,0.2393182320779689
55,0.0078646307929888,0.0060495012298851,0.0206891632721995,0.0104467369321846,0.321095650204761,0.2331047321785219
56,0.01333319797318,0.0102626982202509,0.0295192687907926,0.0076201930069482,0.2758307261002302,0.2095998398825355
57,0.0050075234735438,0.0138237097929354,0.0279519468446674,0.0130259945612938,0.2775595102099555,0.2109538238924881
58,0.0034109150973031,0.0094056363835023,0.027122706714305,0.0090200206284436,0.2676295175035577,0.2065852290887813
59,0.0033282502299897,0.0070930944969663,0.0206000777054747,0.0156787002270112,0.2638185222943623,0.2055700881945485
60,0.017150154248226,0.0087161514611028,0.005441148368852,0.0079532745895317,0.2450697193217408,0.2074857001194054
