epoch,loss,accuracy,emb,L1,L2,L3,L4,L5,L6,L7,L8,model
24,0.0467865182588345,0.985800109229929,19.81107,19.760012,18.021658,18.058521,17.041878,22.129112,23.50425,26.299637,18.72186,bert_uncased_L-8_H-512_A-8
25,0.0455370619109766,0.9837975605315856,19.81051,19.741888,18.034876,18.065708,17.101706,22.23381,23.632792,26.18145,18.720789,bert_uncased_L-8_H-512_A-8
26,0.0326498677875577,0.9898052066266156,19.80863,19.750385,18.035633,18.043745,17.063942,22.203514,23.667002,26.21567,18.683954,bert_uncased_L-8_H-512_A-8
27,0.0465667306449099,0.9854360094665938,19.81166,19.734293,18.029951,18.065948,17.005465,22.120535,23.530664,26.362213,18.680418,bert_uncased_L-8_H-512_A-8
28,0.0369890654256478,0.9888949572182778,19.81459,19.743269,18.028326,18.0444,16.90999,21.976778,23.460377,26.419264,18.685322,bert_uncased_L-8_H-512_A-8
29,0.0334383113005912,0.9888949572182778,19.810545,19.723703,18.018847,18.026985,16.911837,22.01145,23.504923,26.384403,18.655964,bert_uncased_L-8_H-512_A-8
30,0.0267292081711179,0.9919898052066266,19.813587,19.72581,18.00668,17.978416,16.869625,21.957523,23.483194,26.375463,18.66581,bert_uncased_L-8_H-512_A-8
31,0.0301008701016671,0.9923539049699618,19.816402,19.738152,18.032873,18.023449,16.869217,21.97293,23.443401,26.455091,18.669836,bert_uncased_L-8_H-512_A-8
32,0.0294887310479072,0.9912616056799564,19.816887,19.74762,18.051811,18.005455,16.853241,21.94076,23.420248,26.445251,18.685041,bert_uncased_L-8_H-512_A-8
33,0.0148024119284847,0.995266703076643,19.814823,19.734968,18.00198,17.94872,16.821407,21.962343,23.44305,26.463413,18.73389,bert_uncased_L-8_H-512_A-8
34,0.0237922899885519,0.9923539049699618,19.811007,19.728682,17.974014,17.945179,16.852888,21.929014,23.394897,26.565847,18.738222,bert_uncased_L-8_H-512_A-8
35,0.0254444662994977,0.991807755324959,19.818819,19.732439,18.009785,18.044338,16.901548,21.942263,23.40996,26.571062,18.68309,bert_uncased_L-8_H-512_A-8
36,0.0226714274651546,0.9923539049699618,19.818884,19.733551,17.96417,17.965689,16.942972,21.969261,23.38216,26.617273,18.702063,bert_uncased_L-8_H-512_A-8
